path	sentence	id
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_09015_01926167729.wav	అచ్చా ప్యారీ బాపురే	0
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_03689_01565073184.wav	ఇది ఘంటసాల నిర్మించిన తొలిచిత్రం	1
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05484_00638387915.wav	ఈ సినిమాల జాబితా పెట్టింది నేనే	2
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05181_01417030642.wav	ఇతను ఆఫ్ఘనిస్తాన్ పాకిస్తాన్ మరియు ఉత్తర భారత ప్రాంతాలను పాలించాడు	3
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_02769_01970745459.wav	రెండో ప్రధాన పంట జొన్నలు	4
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_09222_02083044266.wav	ప్రారంభ రోమన్ సైన్యం	5
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_00682_01339263892.wav	గ్రామంలో సరైన మంచినీటి వసతి లేదు	6
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05691_00940371979.wav	ఇది మండలములోని పెద్ద గ్రామాలలో ఒకటి	7
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_08318_01523901072.wav	సాలీనా దీని ఉత్పాదన ఇరవై టన్నులకి మించదు	8
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_08318_00140212345.wav	భక్త కుచేల ఇరవై ఎనిమిది	9
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_01908_01035773578.wav	ప్రిన్సిపాల్ ఒక మొమెంటోతో ప్రశంసించారు	10
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_08318_01645326102.wav	ఈ ఊరి పక్కన ఒక గుట్ట కలదు	11
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05994_01329769926.wav	ఆకెళ్ల రాఘవేంద్ర ఆహార్యం ఎపుడూ ఒకటే	12
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_02828_00618371185.wav	మేము దాన్ని కెలక్కూడదని ఇలా జరిగిందేమో	13
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_09935_00164545644.wav	ఆరు వందల అడుగుల్లో	14
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_05479_00844691508.wav	ధ్వని ప్లాస్మా లో కూడా ప్రయాణించును	15
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_06917_01533937543.wav	వందేమాతరం శ్రీనివాస్ ప్రసిద్ది చెందిన తెలుగు సినిమా గాయకుడు గీత రచయిత మరియు సంగీత దర్శకుడు	16
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_06885_00563478860.wav	ఆమె వెయ్యి తొమ్మిది వందలు తొంభై అయిదు లో మరణించారు	17
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_06917_01272610221.wav	కడప జిల్లాలో వల్లూరు పైన వల్లూరు అయోమయ నివృత్తి పేజీకి లింకు ఉంటుంది	18
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05994_01661908485.wav	జయరాజు సింగరేణిపోరాటాలకు సైరనై మోగిండు	19
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_06625_00548627153.wav	దీని ముందు డిడిటి చేసే హాని చాలా తక్కువ	20
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_03910_00961141139.wav	వర్గ వివరణ పేజీలో క్రింది వివరణ ఉండాలి	21
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_08680_01270591275.wav	ఈ ప్రమాదం జరిగిన కొన్ని నెలల తర్వాత దీన్ని గురించి కొన్ని మూల గ్రంథాలు కూడా రాయడం జరిగింది	22
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_03910_01057148645.wav	యాగంటిలో వసతి సౌకర్యాలు లేవు	23
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_00682_00037475720.wav	ఇది భారత సైన్యం యొక్క యుద్ధపతాకం కూడా	24
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_00113_00296671652.wav	తల్లి సరస్వతీ బాలన్	25
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_03338_01192536588.wav	బెంగళూరు లో మాల్య ఆసుపత్రి స్థాపన	26
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_06917_01560662843.wav	ఇంకనూ మీకు ఏమైనా సందేహాలుంటే చర్చా పేజీలలో వ్రాయండి	27
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_00113_00572504339.wav	మామిడి పాలెం కొండమీద రాముల వారి ఆలయం	28
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_02812_00202177527.wav	ఆ సమయాన వసుధ సకల సస్యాలతోనూ రాణించింది	29
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05484_00699267175.wav	కరివేపా ఆకును ఇంగ్లీషులో అని పిలుస్తారు	30
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05691_00397041230.wav	అంతే కాక ఈ గ్రామంలో రామాలయం కలదు	31
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_03338_00552730277.wav	వెడెన్ఫెల్డ్ అండ్ నికొల్సన్	32
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_03338_02048935067.wav	ఇతను హనుమంతుని వీర భక్తుడు	33
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_01033_00961184697.wav	ఇక్కడ మహాశివరాత్రి కి బ్రహ్మాండమైన ఉత్సవాలు ఐదు రోజుల పాటు జరుగుతాయి	34
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05691_01062194211.wav	నకులుడు శల్యుని మీద పది బాణములు వేసాడు	35
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_09015_01125195895.wav	వీటన్నిటి గురించి తరువాత నేర్చుకుందాం	36
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tem_06917_01615751728.wav	పోలవరం తూర్పు గోదావరి జిల్లాకు చెందిన ఒక మండలము	37
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_09281_01804277830.wav	గానం సంగీతం మహాభాష్యం చిత్తరంజన్	38
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_05691_00034723065.wav	అందుకే ఈ ప్రదేశానికి ఆ పేరు వచ్చింది	39
/data/users/maqsood/main_exp/thesis/telugu_asr/te/clips/tef_01033_01286200762.wav	ప్రపంచంలో అతి ఎత్తైన మరియు అత్యంత సుందరమైన శివుని విగ్రహం ఇచట ఉంది	40
